"Name","Version","Package","Type","Size","Source"
"Modeler for Viso V 4.0","2.0","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_010bc08c-7825-47d4-9754-fe601d7d05b0/2","Application","13.3518199920654","\\lounaswps01\pdrive\d907ats\5414\install\"
"Orca-John","","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_0d6f4df5-9b62-4788-bf89-7311d14a11e4/1","Application","7.08706474304199","\\lounaswps01\pdrive\d907ats\MSFT\orca\v5_0_7069"
"Orca-Jim","3.something","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_69c6e528-6b77-43de-9c01-146f157fe609/2","Application","1.8219108581543","\\LOUNASWPS01\Idrive\D907ATS\MSFT\ORCA\v3_1"
"Orca-Tony","v3","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_967cb1fc-368a-47c9-bb5a-7f2066079173/3","Application","4.23884582519531","\\lounaswps01\pdrive\d907ats\OrcaDemo"
"Orca-Marycopy","","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_222d6646-8c66-4b83-b667-e91fcdd5fa5b/2","Application","7.08706474304199","\\lounaswps01\pdrive\d907ats\MSFT\orca\v5_0_7069"
".NET Framework","4.0","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_7c533dd6-cd39-4cb3-989c-7e088b28388b/2","Application","48.1133785247803","\\LOUNASWPS01\IDRIVE\D907ATS\4311\Install\"
"ConfigMgr Toolkit - Tony","2012 R2","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_14b7dffc-5d46-466e-9044-7ce367a391c8/1","Application","5.40234375","\\lounaswps01\pdrive\workarea\ConfigManager Toolkit"
"ConfigMgr Toolkit - Mary","2012 R2","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_5ddecaba-37b6-47c5-9d15-caeadcd41cae/2","Application","5.40234375","\\lounaswps01\pdrive\workarea\ConfigManager Toolkit"
"ConfigMgr 2012 Toolkit R2 Brock","","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_5b4465b0-835d-47a4-8b12-38f207cd6c4b/1","Application","5.40234375","\\lounaswps01\pdrive\workarea\ConfigManager Toolkit"
"ConfigMgr 2012 Toolkit R2 - John","","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_bfb34dfb-8c54-495e-a836-8c2aad6da1fa/3","Application","5.40234375","\\lounaswps01\pdrive\workarea\ConfigManager Toolkit"
"ConfigMgr Toolkit - Sylvia2","2012 R2","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_6736d6bc-a0cc-4ad9-ad83-65a6d86ef75a/1","Application","5.40234375","\\lounaswps01\pdrive\workarea\ConfigManager Toolkit"
"ConfigMgr Toolkit - Jim","2012 R2","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_df2b5057-9ffd-422e-8ac3-2d97ae0c4949/2","Application","5.40234375","\\lounaswps01\pdrive\workarea\ConfigManager Toolkit"
"Configuration Manager Toolkit - Sylvia","2012 R2","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_6e6148cb-cf89-4a7c-8cd6-2d2fa30078c7/2","Application","5.40234375","\\lounaswps01\pdrive\workarea\ConfigManager Toolkit"
"Apple iTunes","11.1.1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_fd545f5f-5be5-40d8-8fa2-6fe65ae21dd5/1","Application","288.848835945129","\\lounaswps01\pdrive\d907ats\5761\Install"
"End Point Encryption","8.2","HUM0007B","Package","120.082860946655","\\louappwps207\source$\Post Install\SEE"
"Configuration Manager Client Package","","CAS0045E","Package","184.332901954651","\\LOUAPPWPS875.rsc.humad.com\SMS_CAS\Client"
"Configuration Manager Client Package","","CAS00002","Package","184.332901954651","\\LOUAPPWPS875.rsc.humad.com\SMS_CAS\Client"
"CfgMgr Client","2.0","CAS0009A","Package","184.332901954651","\\LOUAPPWPS875.rsc.humad.com\SMS_CAS\Client"
